group,variable,value
NG,NG,01
NG,MA,00
NG,ZA,00
NG,SN,00
NG,KE,00
NG,FR,00
NG,IT,00
NG,ES,00
NG,DE,00
NG,CH,01
NG,BE,00
NG,AL,00
NG,GB,00
NG,AT,00
NG,FI,00
NG,CA,00
NG,MX,00
NG,US,00
NG,GT,00
NG,CU,00
NG,EC,00
NG,BR,00
NG,VE,00
NG,CL,00
NG,AR,00
NG,BO,00
NG,NI,00
NG,IN,00
NG,JP,00
NG,MY,00
NG,LK,00
NG,IR,00
NG,AE,01
NG,ID,00
NG,TR,00
NG,PK,00
NG,CN,00
NG,TH,00
NG,AU,00
MA,NG,00
MA,MA,00
MA,ZA,00
MA,SN,00
MA,KE,00
MA,FR,00
MA,IT,00
MA,ES,01
MA,DE,00
MA,CH,00
MA,BE,00
MA,AL,00
MA,GB,00
MA,AT,00
MA,FI,00
MA,CA,01
MA,MX,00
MA,US,00
MA,GT,00
MA,CU,00
MA,EC,00
MA,BR,00
MA,VE,00
MA,CL,00
MA,AR,00
MA,BO,00
MA,NI,00
MA,IN,00
MA,JP,00
MA,MY,00
MA,LK,00
MA,IR,00
MA,AE,00
MA,ID,00
MA,TR,00
MA,PK,00
MA,CN,00
MA,TH,00
MA,AU,00
ZA,NG,00
ZA,MA,00
ZA,ZA,00
ZA,SN,00
ZA,KE,00
ZA,FR,00
ZA,IT,00
ZA,ES,00
ZA,DE,00
ZA,CH,00
ZA,BE,00
ZA,AL,00
ZA,GB,00
ZA,AT,00
ZA,FI,00
ZA,CA,00
ZA,MX,00
ZA,US,00
ZA,GT,00
ZA,CU,00
ZA,EC,00
ZA,BR,00
ZA,VE,00
ZA,CL,00
ZA,AR,00
ZA,BO,00
ZA,NI,00
ZA,IN,00
ZA,JP,00
ZA,MY,00
ZA,LK,00
ZA,IR,00
ZA,AE,00
ZA,ID,00
ZA,TR,00
ZA,PK,00
ZA,CN,00
ZA,TH,00
ZA,AU,01
SN,NG,00
SN,MA,00
SN,ZA,00
SN,SN,00
SN,KE,00
SN,FR,00
SN,IT,00
SN,ES,00
SN,DE,00
SN,CH,00
SN,BE,00
SN,AL,00
SN,GB,00
SN,AT,00
SN,FI,00
SN,CA,00
SN,MX,00
SN,US,00
SN,GT,00
SN,CU,00
SN,EC,00
SN,BR,00
SN,VE,00
SN,CL,00
SN,AR,00
SN,BO,00
SN,NI,00
SN,IN,00
SN,JP,00
SN,MY,00
SN,LK,00
SN,IR,00
SN,AE,00
